,accounting,board,creative,developer,ergonom,freelancer,human_resource,it_support,leadership_team,management,marketing,network,operations,procurement,quality_assurance,resource_planning,sales,traffic
apache,,,,,,,,,,,,,,,,,,
april,,,,,,,,,,,,,,,,,,
bower,,,,,,,,,,,,,,,,,,
centos,,,,,,,,,,,,,,,,,,
canjs,,,,,,,,,,,,,,,,,,
cakephp,,R,,O,U,R,,,,,,,,,,,,
chai,,R,R,,O,U,,,,,,,,,,,,
composer,,U,R,R,,O,,,,,,,,,,,,
debian,,O,U,R,R,,,,,,,,,,,,,
docker,,,O,U,R,R,,,,,,,,,,,,
enlightenment,,R,,O,U,R,,,,,,,,,,,,
fosdem,,R,R,,O,U,,,,,,,,,,,,
framasoft,,U,R,R,,O,,,,,,,,,,,,
fsfe,,O,U,R,R,,,,,,,,,,,,,
ftp,,,O,U,R,R,,,,,,,,,,,,
grogle,,R,,O,U,R,,,,,,,,,,,,
grunt,,R,R,,O,U,,,,,,,,,,,,
gnupg,,U,R,R,,O,,,,,,,,,,,,
git,,O,U,R,R,,,,,,,,,,,,,
inkscape,,,O,U,R,R,,,,,,,,,,,,
jquery,,,,,,,,,,,,,,,,,,
kde,,,,,,,,,,,,,,,,,,
linux,,,,,,,,,,,,,,,,,,
mailvelope,,,,,,,,,,,,,,,,,,
mocha,,,,,,,,,,,,,,,,,,
nodejs,,,,,,,,,,,,,,,,,,
openpgpjs,,,,,,,,,,,,,,,,,,
phpunit,,,,,,,,,,,,,,,,,,
qgis,,,,,,,,,,,,,,,,,,
selenium,,,,,,,,,,,,,,,,,,
stealjs,,,,,,,,,,,,,,,,,,
virtualbox,,,,,,,,,,,,,,,,,,