,admin,ada,adele,betty,carol,dame,edith,frances,grace,hedy,irene,jean,joan,kathleen,lynne,marlyn,margaret,nancy,orna,ping,thelma,ursula,wang,yvonne
apache,,O,,U,R,R,,,,,,,,,,,,,,,,,,
april,,,,O,U,R,R,,,,,,,,,,,,,,,,,
bower,,R,,,O,U,R,,,,,,,,,,,,,,,,,
centos,,R,,R,,O,U,,,,,,,,,,,,,,,,,
canjs,,U,,R,R,,O,,,,,,,,,,,,,,,,,
cakephp,,O,,U,R,R,,,O,U,R,,,,,,,,,,,,,
chai,,,,O,U,R,R,,,O,U,,,,O,,,,,,,,,
composer,,R,,,O,U,R,,R,,O,,,,,,,,,,,,,
debian,,R,,R,,O,U,,R,R,,,,,,,,,,,,,,
docker,,U,,R,R,,O,,U,R,R,,,,,,,,,,,,,
enlightenment,,O,,U,R,R,,,O,U,R,,,,,,,,,,,,,
fosdem,,,,O,U,R,R,,,O,U,,,,,,,,,,,,,
framasoft,,R,,,O,U,R,,R,,O,,,,,,,,,,,,,
fsfe,,R,,R,,O,U,,R,R,,,,,,,,,,,,,,
ftp,,U,,R,R,,O,,U,R,R,,,,,,,,,,,,,
grogle,,O,,U,R,R,,,O,U,R,,,,,,,,,,,,,
grunt,,,,O,U,R,R,,,O,U,,,,,,,,,,,,,
gnupg,,R,,,O,U,R,,R,,O,,,,,,,,,,,,,
git,,R,,R,,O,U,,R,R,,,,,,,,,,,,,,
inkscape,,U,,R,R,,O,,U,R,R,,,,,,,,,,,,,
jquery,,,,,,,,,,,,,,,,,,,,,,,,
kde,,,,,,,,,,,,,,,,,,,,,,,,
linux,,,,,,,,,,,,,,,,,,,,,,,,
mailvelope,,,,,,,,,,,,,,,,,,,,,,,,
mocha,,,,,,,,,,,,,,,,,,,,,,,,
nodejs,,,,,,,,,,,,,,,,,,,,,,,,
openpgpjs,,,,,,,,,,,,,,,,,,,,,,,,
phpunit,,,,,,,,,,,,,,,,,,,,,,,,
qgis,,,,,,,,,,,,,,,,,,,,,,,,
selenium,,,,,,,,,,,,,,,,,,,,,,,,
stealjs,,,,,,,,,,,,,,,,,,,,,,,,
virtualbox,,,,,,,,,,,,,,,,,,,,,,,,